,cos_tr,cos_te,c,parsed_body_ans
832,,,,"we have specified about this error at 10:26 in the ""installing moodle on local server"" tutorial. please follow all the steps as shown in the tutorial.read the instruction given in the additional reading material for the errors:https://spoken-tutorial.org/media/videos/97/964/resources/installing-moodle-on-local-server-additionalmaterial.pdf"
833,,,,"hello,\r\n\r\nwe can't see the image. could you upload on any image sharing website and post the link here?"
834,,,,ok madam. thank you for your kind & favorable reply. 
835,,,,
836,,,,"dear user,thank you for pointing out the error.there were some minor issues with the relative source files of the slide.the issue is now resolved. you can now download the source files for the slides and compile them successfully.thanks."
837,,,,"yes, cis - trans isomer is an example of geometric isomerism."
838,,,,good
839,,,,digishala
840,,,,"i do not know for what specific reason you would want to use functions in that manner but read the ""note"" in the end of the help for ""return"". the note reads ""note: the usage of this feature can complexify the code. instead, the syntax function b=foo() is recommended."" in other words the return() in scilab's function is not the same as the ""return"" in c/c++. so do not compare.the best way to return a variable in scilab is to define it in the function definition and then call the function along with the output variable. the number of output variables called must be equal to the number of output variables defined."
841,,,,i3 processer4 gb ram500gb hdd
842,,,,refer tutorial no. 5 from spoken tutorial (koha)https://spoken-tutorial.org/watch/koha+library+management+system/how+to+create+a+library/english
843,,,,"#include<iostream.h>using namespace std;{int main()cout<<""my name is navneeta\n"";cout<<""i live in nanded"";return 0;}/*output: my name is navneeta                  i live in nanded*/"
844,,,,"hi mpatil,csv stands for 'comma separated value'.  it is a file just that works in excel just like any other spreadsheet.  so, using a csv, you can very easily upload and manage the users, add courses, modify enrollment, add or remove users from a course on your moodle infrastructure.to answer your question:this is a site administrator function.  so, if you have site administrator or a manager privilege, you will be able to work on this.with regards,jsp"
845,,,,"/*assignment _ 1*/#include<stdio.h>int main (){printf(""welcome to the world of c"");return 0;}/*output     welcome to the world of c     */ans:.  if \n is not included in the printf            statment, then curosr will blink            on that line only and next statment will be printed on same line."
846,,,,"dear ranu,you should contact your faculty coordinator in your college for certificate related queries."
847,,,,"pls follow the steps below,- in the schematic right click on the jfet device - change it's reference field to j - annotate- generate the netlist. - use the model builder to build jfet model. it should work then.basically jfet's reference field should be ""j"" it is a bug which we removed in our latest installer. did you download and install oscad from oscad.in?"
848,,,,"dear user,the error message has nothing to do with enthought's canopy. it will show you the same error for any other ipython as well if you don't provide brackets to entire calculation.please try plot((sin(x)*sin(x))/x). this will not show you the error message.hope this helps.thanks."
849,,,,"rebuild-dspace script is prepared to build dspace from source code located at location ""/home/dspace/dspace-6.3-src-release"".  please ensure that your dspace source code is located at the same path. i.e. /home/dspace/dspace-6.3-src-releaseotherwise, you need to modify rebuild-dspace script as per location of dspace source code on your system.also ensure that you have executed all the steps mentioned in the following tutorials.1. getting ready for dspace installation2. dspace installation on ubuntu os"
850,,,,"select course named as ""c and cpp"".select language.go to 12th video for tutorial related for loop."
851,,,,"for any kind of data manipulation, you may watch the following tutorials -1) https://spoken-tutorial.org/watch/r/data+manipulation+using+dplyr+package/english/2) https://spoken-tutorial.org/watch/r/more+functions+in+dplyr+package/english/in order to export the data directly into a word file, you may explore the ""r2wd"" package of r.in order to export the data directly into a pdf file, you may explore the ""rmarkdown"" package in r."
852,,,,to checkout out the books or any items from the library patron should come to library its not ideal to allow web selfcheckout from any ip.  please restrict selfcheckout to your library ip address. here is the link for more details: http://manual.koha-community.org/16.05/en/selfcheckout.html
853,,,,"also, if you wish to get a student view, there is an option available:- login in as a teacher or admin user- click on your name (right hand side top corner, where you get an option to logout)- you will find an option to 'switch role to...', click on it- here, you will find a list of roles, click on 'student'- but, it does not give you an actual student view, some of the admin capabilities still persistbut, you can give it a try to take a look at this feature."
